,id,description,photo,article,name,price,sku
248,4608769,"Состав:
72% - вискоза
22% - шерсть
3% - шелк
2% - эластан",https://sun9-76.userapi.com/vWETP_pkzUgsQwwrMS9X4PPsA4RZNsuvJUfQow/ONRVPBULW6g.jpg,,"Брюки свободные зауженные к низу, черные в тонкую полоску. Арт. 4148",4800.0,
249,4604167,"НОВИНКА!!!
Легинсы-брючки из теплой ангоры - идеальное дополнение к платью-тунике Арт. 3927. 
Легинсы придают совершенно иной вид традиционному луку с платьем, делая его оригинальным и комфортным.
Зауженная модель, пояс на резинке.
Состав:
14% - вискоза
83% - ПЭ
3% - спандекс",https://sun9-30.userapi.com/c853528/v853528868/1ef1bc/XJlVWTv_cVk.jpg,,"Леггинсы-брючки из ангоры, хаки Арт. 4026",2000.0,
250,4604165,"НОВИНКА!!!

Платье-туника свободного прямого кроя из мягкой ангоры прекрасного качества. Ткань невероятно приятна на ощупь, дарит тепло и комфорт своей обладательнице. Платье необычайно выигрышно смотрится в сочетании с леггинсами-брючками Арт. 4026.
Особенности модели: цельнокроеные рукава, воротник-стойка, вместительные накладные карманы.

Состав:
14% - вискоза
83% - ПЭ
3% - спандекс",https://sun9-76.userapi.com/c857024/v857024868/77de7/sVN7NkRjIek.jpg,,Платье-туника  с цельнокроеными рукавами и стойкой ангора хаки Арт. 3927,4000.0,
251,4604161,"НОВИНКА!!!
Нарядный брючный костюм из натурального шелка роскошной расцветки... Уже остался в единственном экземпляре! Размер L.",https://sun9-17.userapi.com/c855332/v855332850/1f64cb/XLdiJud1W8g.jpg,,Брючный костюм темно-зеленый в цветах Арт. 4178,7500.0,
252,4604160,"НОВИНКА!!!
Джемпер из мягкой трикотажной ткани, образующей красивую драпировку. Из-за особенностей кроя великолепно и свободно драпируется,  имеет цельнокроеные рукава и ворот хомут.
Универсальный вариант на каждый день. Прекрасно дополняется аксессуарами, сочетается с классическими юбками и свободными брюками.

Состав:
28% - вискоза
69% - эластан
3% - ПЭ",https://sun9-62.userapi.com/c853516/v853516850/1f8e16/rC_D_83ToAA.jpg,,"Джемпер ""летучая мышь"" с хомутом, черный меланж ангора Арт. 4157",3200.0,
253,4604158,"НОВИНКА!!!
Модель найдет своих почитателей среди дам, ведущих активный образ жизни. Идеальна для прогулок и прочих повседневных ситуаций.
Брюки немного заужены к низу, имеют пояс на резинке и карманы с отрезным бочком. 

Состав: 100% хлопок",https://sun9-34.userapi.com/UGGtlKf7kKN1Tm-ps8vc0gbhMNL3Mk_8bzzh9A/mldjz9awjd0.jpg,,"Брюки свободные зауженные к низу, х/б футер хаки Арт. 4160",3000.0,
254,4604157,"НОВИНКА!!!

Дерзкая модель из серии спорт-шик. Изюминка юбки - это ее асимметричный низ! Он создает плавные складки и интересный силуэт. Открытые срезы придают модели современности  и свободы.

Состав: 100% хлопок",https://sun9-58.userapi.com/c856016/v856016850/1f9e39/W3HVFfAFMsk.jpg,,"Юбка с открытыми срезами и асимметричным низом, футер хаки Арт. 4159",4000.0,
255,4604155,"НОВИНКА!!!
Туника этого фасона - одна из топовых позиций нашего каталога. Базовая вещь, которая дополнит любой образ: от классического до спортивного.
В наличии всегда есть большой выбор однотонных тканей для этой модели. 

Состав:
95% - вискоза
5% - эластан",https://sun9-38.userapi.com/c858528/v858528850/dc4fe/Ivx9F3S4HWM.jpg,,"Туника ""гимнастик"" камуфляжная, рукава 3/4. Арт. 1433",1900.0,
256,4604153,"НОВИНКА!!!
Дерзкая модель из серии спорт-шик. Открытые срезы придают модели современности  и свободы.
Особенность джемпера - это декоративный элемент в виде молнии.   Модель со спущенным плечом, рукава с манжетами, есть карманы в боковых швах.
Состав: 100% хлопок",https://sun9-55.userapi.com/xf4IwS7IMESoNxBlRA5qfJjpzPcoz0uyMqE17Q/dc0NmxVFa4Y.jpg,,"Джемпер с цельнокроеной стойкой на молнии, открытые швы, футер хаки Арт. 4155",3500.0,
257,4604146,"НОВИНКА!!!
Роскошная, роскошная, роскошная и очень эффектная классическая модель, но в современном прочтении. Идеальный крой стройнит и вытягивает силуэт, а глубокий бархатистый черный цвет добавляет шика его обладательнице.
Состав:
15% - шерсть
5% - кашемир
70% - ПЭ
10% - акрил

Подклад:
55% - вискоза
45% - ПЭ",https://sun9-10.userapi.com/hNX-5ygNGuNcyhL1Mc4zHn05B5peGKbWd--cNA/DIb9ys2Ahxg.jpg,,"Пальто двубортное классическое, рукав полуреглан, итал. тонкий драп с кашемиром, черное Арт. 4172",23000.0,
