,id,description,photo,article,name,price
86,2904878,Вес: 150 гр.,https://sun9-42.userapi.com/c847018/v847018573/174a24/DzYmCl7cztU.jpg,,Сырно-Крабовые шарики,120.0
87,2904877,Вес: 150 гр.,https://sun9-45.userapi.com/c851032/v851032393/91200/2Pgpax7oRVU.jpg,,Краб в кляре ,100.0
88,2904876,Вес: 150 гр.,https://sun9-26.userapi.com/c851224/v851224393/91494/9dyV7pQVOL8.jpg,,Кольца кальмара,130.0
89,2904875,Вес: 150 гр.,https://sun9-16.userapi.com/c851432/v851432393/96c6b/ZJrlkzaTJ3I.jpg,,Картофельные шарики,120.0
90,2904873,Вес: 150 гр.,https://sun9-46.userapi.com/c846017/v846017573/1757e3/EmpgcDfgEdo.jpg,,Картофель фри ,80.0
91,2904648,"Состав: нори, рис, густой майонез, икра тобико, красный лосось.
Вес: 200 гр.",https://sun9-34.userapi.com/c844416/v844416820/173eb0/vawGKBsiC5k.jpg,,Запеченный с лососем,200.0
92,2904424,"Состав: нори, рис, сыр творожный, тигровая креветка, свежий огурец, икра тобико.
Вес: 380 гр.",https://sun9-53.userapi.com/c849132/v849132820/106517/JipS7Ucuuvw.jpg,,Рио темпурный,239.0
93,2904399,"Состав: нори, рис, майонез, сурими, свежий огурец, икра тобико.
Вес: 260 гр.",https://sun9-16.userapi.com/c854324/v854324730/164437/d_93LxmFmcY.jpg,,Калифорния темпура,199.0
94,2904378,"Состав: нори, рис, сыр творожный, ломтики кальмара, свежий огурец.
Вес: 270 гр.",https://sun9-26.userapi.com/c852232/v852232149/900b8/U4kaVQKGPY0.jpg,,Аризона,200.0
95,2904355,"Состав: нори, рис, сыр творожный, тигровая креветка, мясо угря, густой майонез, спелый томат, свежий огурец, икра тобико.
Вес: 400 гр.",https://sun9-65.userapi.com/c849220/v849220820/106866/HTQVa87-QGI.jpg,,Монтана,260.0
96,2904333,"Состав: нори, рис, сыр творожный, окунь, соус Унаги, жаренный кунжут.
Вес: 280 гр.",https://sun9-72.userapi.com/c844617/v844617820/185b04/UN0ic2P96WI.jpg,,Тай темпура,209.0
97,2904314,"Состав: нори, рис, сыр творожный, тигровая креветка, свежий огурец, имбирь, красный лосось.
Вес: 400 гр.",https://sun9-2.userapi.com/c845017/v845017820/17fd15/bX_UDqi-E1g.jpg,,Имбирная темпура,269.0
98,2904303,"Состав: нори, рис, соус спайс, красный лосось, мясо угря, свежий огурец.
Вес: 350 гр.",https://sun9-58.userapi.com/c845321/v845321820/1783c4/myZPvFZIryk.jpg,,Спайс темпура,230.0
99,2904288,"Состав: нори, рис, сыр творожный, лосось жареный, жареный кунжут, соус Унаги.
Вес: 280 гр.",https://sun9-5.userapi.com/c850136/v850136820/b8a55/X1etan2MPWg.jpg,,Хот Фиш,209.0
100,2903949,"Состав: нори, рис, сыр творожный, красный лосось, свежий огурец.
Вес: 280 гр.
",https://sun9-14.userapi.com/Py4LCL87mayFSdtJWG8VceMae7Kv2Tj7DmXRvg/QNSZmMrjJSw.jpg,,Филадельфия Хот,229.0
101,1601143,"Состав: нори, рис, сыр творожный, жареный лосось, свежий огурец, стружка тунца.
Вес: 310 гр.",https://sun9-60.userapi.com/c841537/v841537039/570da/b3K7uXdjm9M.jpg,,Сенсей,210.0
102,1601139,"Состав: нори, рис, сыр творожный, красный лосось, томаго, икра тобико.
Вес: 310 гр.",https://sun9-26.userapi.com/c854216/v854216433/12ba78/sgfZQ4ckixc.jpg,,Тритон,190.0
103,1601136,"Состав: нори, рис, сыр творожный, авокадо, красный лосось.
Вес: 300 гр.",https://sun9-42.userapi.com/c834303/v834303039/86792/0DWCmAkMvi8.jpg,,Филадельфия,209.0
104,1601135,"Состав: нори, рис, окунь,  майонез, икра масаго,огурец.
Вес: 270 гр.",https://sun9-31.userapi.com/c840523/v840523039/41478/ZpQVMeMUaHM.jpg,,Гейша,190.0
105,1601132,"Состав: нори, рис, сыр творожный, мясо угря, огурцы, соус Унаги.
Вес: 350 гр.
",https://sun9-48.userapi.com/c840434/v840434039/41a1a/xGG1g3ZvDuY.jpg,,Камбоджи,259.0
106,1601128,"Состав: нори, рис, мясо угря, томаго, сыр творожный, свежий огурец, икра тобико, лосось х\к.
Вес: 390 гр.",https://sun9-61.userapi.com/c830108/v830108039/3d749/_w8Vcw1ERyI.jpg,,Чидори,290.0
107,1363200,"Состав: нори, рис, копченый лосось.
Вес: 110 гр.",https://sun9-13.userapi.com/c841630/v841630967/3d02d/qVKq-m-yl3k.jpg,,Классика с копченным лососем,110.0
